year,1,2,3,4,5,6,7,8,9,10,11,12,source
1998,0.04,0.14,0.294,0.483,0.693,0.911,1.126,1.333,1.526,1.703,1.864,2.008,Far north data
1999,0.037,0.146,0.324,0.557,0.824,1.107,1.394,1.673,1.938,2.183,2.408,2.611,Far north data
2000,0.035,0.145,0.336,0.592,0.893,1.218,1.55,1.877,2.189,2.481,2.75,2.994,Far north data
2001,0.033,0.139,0.324,0.572,0.864,1.18,1.504,1.822,2.127,2.412,2.674,2.912,Far north data
2002,0.036,0.145,0.33,0.576,0.861,1.167,1.478,1.783,2.074,2.344,2.593,2.817,Far north data
2003,0.04,0.154,0.341,0.584,0.862,1.157,1.454,1.743,2.017,2.272,2.504,2.714,Far north data
2004,0.038,0.149,0.333,0.574,0.852,1.148,1.447,1.74,2.017,2.275,2.511,2.724,Far north data
2005,0.037,0.15,0.341,0.595,0.89,1.206,1.527,1.842,2.142,2.422,2.678,2.911,Far north data
2006,0.038,0.152,0.347,0.606,0.907,1.23,1.558,1.88,2.187,2.473,2.735,2.973,Far north data
2007,0.038,0.149,0.335,0.579,0.861,1.161,1.465,1.762,2.044,2.306,2.546,2.763,Far north data
2008,0.036,0.146,0.334,0.585,0.876,1.19,1.51,1.823,2.122,2.4,2.656,2.888,Far north data
2009,0.038,0.15,0.337,0.582,0.865,1.167,1.474,1.773,2.057,2.321,2.563,2.782,Far north data
2010,0.039,0.15,0.332,0.567,0.837,1.123,1.411,1.691,1.956,2.203,2.428,2.631,Far north data
2011,0.031,0.143,0.351,0.644,1,1.395,1.806,2.217,2.614,2.99,3.337,3.655,Far north data
2012,0.032,0.145,0.349,0.632,0.971,1.344,1.731,2.115,2.485,2.834,3.156,3.449,Far north data
2013,0.032,0.145,0.349,0.632,0.971,1.344,1.731,2.115,2.485,2.834,3.156,3.449,Far north data
2014,0.032,0.145,0.349,0.632,0.971,1.344,1.731,2.115,2.485,2.834,3.156,3.449,Far north data
2015,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2016,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2017,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2018,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2019,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2020,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2021,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
2022,0.0332,0.1456,0.346,0.6214,0.95,1.31,1.682,2.0506,2.405,2.739,3.0466,3.3266,Far north data
1970,0.040161,0.147958,0.326509,0.562258,0.837223,1.134031,1.438064,1.738053,2.025943,2.296422,2.546373,2.774341,Far north
1971,0.040162,0.144043,0.320024,0.553696,0.827236,1.123252,1.427022,1.727158,2.015487,2.286599,2.537295,2.766062,Far north
1972,0.040161,0.14145,0.311813,0.541539,0.812058,1.106124,1.408926,1.708898,1.997665,2.269635,2.521458,2.751499,Far north
1973,0.040161,0.136587,0.301166,0.522694,0.787498,1.077558,1.378085,1.677271,1.966419,2.239612,2.493219,2.725378,Far north
1974,0.040161,0.131315,0.287571,0.500517,0.755205,1.038481,1.334649,1.631757,1.920712,2.195138,2.450972,2.685991,Far north
1975,0.040162,0.127318,0.275678,0.47818,0.722832,0.995182,1.284298,1.577197,1.864523,2.139401,2.397229,2.63529,Far north
1976,0.040162,0.12581,0.269182,0.462988,0.696647,0.958656,1.236745,1.522649,1.805934,2.079427,2.337995,2.578356,Far north
1977,0.040163,0.125268,0.266776,0.455306,0.680072,0.930977,1.198689,1.473586,1.749938,2.019477,2.276763,2.517975,Far north
1978,0.040164,0.129138,0.272642,0.461362,0.68226,0.925055,1.181923,1.446298,1.711208,1.97319,2.225785,2.464926,Far north
1979,0.040165,0.144288,0.301605,0.500359,0.726957,0.968955,1.218729,1.471691,1.724379,1.972472,2.214624,2.445986,Far north
1980,0.040164,0.126821,0.287822,0.49111900000000003,0.721397,0.965556,1.21336,1.459884,1.70312,1.941811,2.173402,2.397883,Far north
1981,0.040164,0.132154,0.279188,0.488999,0.725761,0.97468,1.225003,1.469358,1.705556,1.933935,2.155108,2.36794,Far north
1982,0.040162,0.126183,0.274633,0.46731,0.708413,0.962606,1.217289,1.464386,1.699086,1.921391,2.133389,2.33702,Far north
1983,0.04016,0.105383,0.234214,0.417271,0.633674,0.887995,1.146558,1.398795,1.638571,1.862737,2.072622,2.271319,Far north
1984,0.040165,0.168112,0.317317,0.51404,0.743643,0.985976,1.24887,1.502635,1.74051,1.959621,2.15942,2.343212,Far north
1985,0.040165,0.138605,0.331164,0.532602,0.765136,1.014688,1.263617,1.522819,1.765535,1.987511,2.187875,2.3676,Far north
1986,0.040163,0.130522,0.28827,0.528773,0.763083,1.013926,1.269533,1.515073,1.764134,1.992256,2.197025,2.378962,Far north
1987,0.040163,0.128876,0.277462,0.482281,0.755057,1.007343,1.264131,1.516411,1.751994,1.986726,2.197954,2.384632,Far north
1988,0.040163,0.144913,0.30238,0.506547,0.749473,1.043476,1.302781,1.555641,1.796163,2.014828,2.229612,2.419478,Far north
1989,0.040164,0.143255,0.31567,0.527838,0.769509,1.033325,1.334236,1.589676,1.830964,2.054836,2.253868,2.447629,Far north
1990,0.040162,0.125858,0.285196,0.503081,0.746424,1.00546,1.275019,1.572716,1.818537,2.045984,2.253537,2.435094,Far north
1991,0.040161,0.130234,0.275051,0.482182,0.732834,0.99443,1.259502,1.525682,1.81327,2.044542,2.254837,2.444022,Far north
1992,0.040164,0.146326,0.306081,0.507229,0.752981,1.025147,1.293856,1.554947,1.809211,2.079651,2.290707,2.479352,Far north
1993,0.040166,0.148877,0.326393,0.543832,0.784529,1.052311,1.331762,1.596394,1.845282,2.081988,2.331726,2.520611,Far north
1994,0.040167,0.157531,0.343275,0.583066,0.843201,1.10768,1.383327,1.658376,1.909835,2.139768,2.354123,2.579927,Far north
1995,0.040163,0.11716,0.28506,0.511658,0.779458,1.055195,1.324834,1.597593,1.864,2.103024,2.318294,2.516948,Far north
1996,0.040159,0.135129,0.274458,0.492747,0.753892,1.040937,1.323037,1.589115,1.851215,2.102283,2.323222,2.519126,Far north
1997,0.040155,0.120719,0.268564,0.450639,0.698234,0.975704,1.268147,1.547226,1.804261,2.05335,2.289078,2.493588,Far north
1998,0.040157,0.134133,0.276379,0.474089,0.690351,0.956991,1.240758,1.529676,1.7982070000000001,2.040064,2.271256,2.487819,Far north
1999,0.040162,0.186941,0.377261,0.597392,0.848501,1.094508,1.370983,1.649245,1.921688,2.166512,2.380415,2.581674,Far north
2000,0.040164,0.167779,0.39832,0.656354,0.92291,1.199879,1.454438,1.726127,1.990065,2.241897,2.462418,2.650297,Far north
2001,0.040163,0.138251,0.330245,0.612831,0.906547,1.19298,1.476522,1.727402,1.988082,2.2361780000000002,2.46933,2.669849,Far north
2002,0.040162,0.145759,0.313156,0.56118,0.882181,1.197295,1.490804,1.770386,2.009413,2.253038,2.481025,2.692643,Far north
2003,0.040161,0.149258,0.326462,0.551746,0.839457,1.182566,1.504991,1.794408,2.061745,2.283152,2.506001,2.71174,Far north
2004,0.040162,0.149364,0.330137,0.565285,0.830295,1.140136,1.490563,1.808892,2.086052,2.335751,2.536362,2.736942,Far north
2005,0.040162,0.165126,0.356349,0.603429,0.884037,1.17437,1.492585,1.838325,2.142628,2.399605,2.625506,2.800634,Far north
2006,0.040161,0.158896,0.361791,0.616016,0.90629,1.210958,1.509248,1.82301,2.155422,2.440548,2.674914,2.876603,Far north
2007,0.040158,0.142011,0.327596,0.584534,0.87581,1.186723,1.498216,1.792686,2.095016,2.410978,2.676709,2.890305,Far north
2008,0.040156,0.16457,0.348081,0.59968,0.901877,1.218364,1.537614,1.844441,2.124946,2.407182,2.699453,2.939813,Far north
2009,0.040154,0.154746,0.354371,0.598684,0.891969,1.217387,1.541553,1.856505,2.15047,2.412468,2.672882,2.941785,Far north
2010,0.040156,0.149627,0.336071,0.593784,0.877922,1.19339,1.526144,1.846204,2.148869,2.425153,2.666304,2.904393,Far north
2011,0.040163,0.228231,0.461147,0.747386,1.073517,1.395767,1.723839,2.0495390000000002,2.348489,2.620777,2.861245,3.064042,Far north
2012,0.04016,0.15125,0.412232,0.704092,1.030743,1.379385,1.709079,2.032985,2.346216,2.627224,2.878357,3.096171,Far north
2013,0.04016,0.165422,0.358729,0.686176,1.023603,1.375638,1.732674,2.05767,2.367516,2.660516,2.91767,3.143259,Far north
2014,0.04016,0.168343,0.377739,0.639061,1.013138,1.376542,1.737166,2.089395,2.400003,2.689146,2.957735,3.188749,Far north
2015,0.040159,0.161178,0.368793,0.642402,0.947748,1.346349,1.717862,2.073947,2.412592,2.703655,2.969752,3.213662,Far north
2016,0.040159,0.167033,0.371327,0.646262,0.966026,1.297082,1.704185,2.07094,2.412784,2.730938,2.99784,3.238063,Far north
2017,0.04016,0.166861,0.376896,0.648419,0.969446,1.314885,1.654432,2.056783,2.409316,2.730697,3.024722,3.265786,Far north
2018,0.04016,0.166636,0.376351,0.653497,0.971029,1.317686,1.671601,2.006404,2.394559,2.726664,3.02396,3.292193,Far north
2019,0.04016,0.165777,0.374703,0.651071,0.973914,1.316902,1.671977,2.02118,2.341884,2.70975,3.017934,3.289613,Far north
2020,0.040161,0.165141,0.372789,0.648031,0.969865,1.318034,1.669397,2.019784,2.35496,2.655477,2.999543,3.28224,Far north
2021,0.040161,0.164323,0.370797,0.644327,0.964736,1.311732,1.668221,2.014927,2.351378,2.6665,2.943373,3.262119,Far north
2022,0.040162,0.162694,0.36728,0.638771,0.956876,1.302117,1.657323,2.009217,2.34217,2.65883,2.950617,3.202503,Far north
2023,0.040162,0.150563,0.345558,0.608725,0.920378,1.260855,1.613494,1.964559,2.304061,2.619183,2.914819,3.184092,Far north
2024,0.040162,0.150563,0.333427,0.587003,0.890331,1.224357,1.572232,1.92073,2.259404,2.581074,2.875172,3.148294,Far north
1979,0.1083413,0.1554059,0.2472602,0.3143437,0.3878198,0.5098555,0.6534656,0.7799549,0.9487193,1.152912,1.348908,1.574944,Northern Chile data
1980,0.1808278,0.2087755,0.2633333,0.3382963,0.4339371,0.4619997,0.4987267,1.062208,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1981,0.2054582,0.2350948,0.2867797,0.3528091,0.4242458,0.4998624,0.6012975,0.7354709,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1982,0.1636503,0.1923338,0.2362049,0.3014684,0.35445,0.4224571,0.4597356,0.489508,0.7386844,1.144385,1.350005,1.550582,Northern Chile data
1983,0.121554,0.1908317,0.244735,0.3094295,0.3757042,0.4285458,0.4845665,0.4856115,0.5292549,1.144385,1.350005,1.550582,Northern Chile data
1984,0.1570446,0.1735583,0.2413098,0.3229878,0.387439,0.4425778,0.5103614,0.5585764,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1985,0.2090975,0.2057974,0.2746434,0.3444275,0.4058752,0.4817998,0.5532299,0.5945603,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1986,0.0832802,0.1660106,0.2791706,0.3583185,0.4322058,0.5234327,0.5587558,0.7161179,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1987,0.1590127,0.1630467,0.2370581,0.3347242,0.4322563,0.4910378,0.5420361,0.5448677,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1988,0.1778117,0.21376,0.2507143,0.2958118,0.3824966,0.5813812,0.6896011,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1989,0.1372251,0.193525,0.2519578,0.297345,0.3544023,0.4958745,0.5794554,0.5465612,0.7012168,1.144385,1.350005,1.550582,Northern Chile data
1990,0.1162022,0.2377396,0.2926633,0.337878,0.3861125,0.4901273,0.6877694,0.6766677,0.9504298,1.144385,1.350005,1.550582,Northern Chile data
1991,0.1439557,0.1647319,0.2826775,0.3436108,0.3883955,0.4397735,0.7391547,0.855417,0.7753098,1.144385,1.350005,1.550582,Northern Chile data
1992,0.1160919,0.1590657,0.2593487,0.2851071,0.341574,0.3942182,0.4711396,0.6731199,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1993,0.1332316,0.1302289,0.2584095,0.3341063,0.3789038,0.4320609,0.5200202,0.6377386,0.8145088,0.9349997,0.9599598,1.550582,Northern Chile data
1994,0.1053357,0.132405,0.2816799,0.3215695,0.3787916,0.4360745,0.5084511,0.58351,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1995,0.07237487,0.1472323,0.2703496,0.3396642,0.3936783,0.3945023,0.6322675,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1996,0.1171299,0.1514152,0.2027182,0.2296747,0.2836721,0.3881415,1.319653,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1997,0.1618985,0.1498677,0.2247601,0.291273,0.4253144,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1998,0.1828741,0.124466,0.2459942,0.2854506,0.3394465,0.4112025,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
1999,0.1111429,0.09493377,0.2656743,0.3063742,0.3697339,0.61193090000000006,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2000,0.06062325,0.1729691,0.2320196,0.2561545,0.4563926,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2001,0.1168846,0.1158529,0.2077776,0.2893289,0.4001102,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2002,0.09680032,0.1325918,0.2403284,0.3238746,0.3890515,0.4826654,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2003,0.09533144,0.1115449,0.2337904,0.313872,0.4221998,0.4777309,0.5095262,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2004,0.1397537,0.1820871,0.1993592,0.2460854,0.3595319,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2005,0.08361862,0.1338314,0.2232978,0.2651011,0.2944314,0.6598041,0.7388012,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2006,0.07715216,0.1266478,0.2020969,0.3856408,0.4574256,0.5293303,0.6357077,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2007,0.1157555,0.1395462,0.217312,0.2961324,0.4011291,0.5393338,0.6583547,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2008,0.05257415,0.1000209,0.2462472,0.28972,0.3888821,0.5921569,0.6294711,0.7611534,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2009,0.08785866,0.1260027,0.2462381,0.2859746,0.3339393,0.5341796,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2010,0.05596999,0.1019398,0.2311051,0.2866915,0.4011559,0.6024806,0.7010418,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2011,0.06397631,0.108918,0.2751535,0.3246039,0.3820431,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2012,0.04693012,0.179047,0.2521815,0.3492373,0.3613665,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2013,0.06365118,0.06396216,0.2841003,0.3900747,0.4406254,0.6570541,0.5204606,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2014,0.05220643,0.104713,0.2180101,0.28288,0.4299356,0.5527657,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2015,0.03733641,0.184851,0.2791115,0.3687216,0.4372018,0.6076971,0.7787995,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2016,0.1644079,0.1754634,0.2330841,0.2936427,0.366497,0.4988031,0.7181823,0.8603901,0.6579751,1.144385,1.350005,1.550582,Northern Chile data
2017,0.04939622,0.1581078,0.1921761,0.2590688,0.3321864,0.4513515,0.6002911,0.5284094,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2018,0.03374934,0.129107,0.2478912,0.2773394,0.2794467,0.5557969,0.7035318,0.8522619,0.9840867,1.144385,1.350005,1.550582,Northern Chile data
2019,0.02501356,0.1789163,0.2840498,0.4709409,0.5010687,0.5276186,0.732435,0.852934,0.8879844,1.279738,1.695085,1.806153,Northern Chile data
2020,0.06780253,0.2107007,0.242154,0.3026821,0.3973548,0.4735262,0.7704152,1.065567,1.351351,1.568029,1.350005,2.293855,Northern Chile data
2021,0.04185013,0.1474796,0.457128,0.4518323,0.5361883,0.6550411,0.745195,0.9232431,1.001745,1.097865,1.192563,1.804035,Northern Chile data
2022,0.04185013,0.1474796,0.457128,0.5905229,0.7387792,0.8290576,0.9143843,0.9812913,1.102732,1.043821,1.192563,1.804035,Northern Chile data
1970,0.122609,0.174738,0.239472,0.31801,0.411506,0.52107,0.647771,0.792636,0.956652,1.140766,1.345887,1.572888,Northern Chile
1971,0.122613,0.175699,0.240665,0.319458,0.413229,0.523089,0.650106,0.795306,0.959675,1.14416,1.349668,1.577071,Northern Chile
1972,0.122616,0.175759,0.241696,0.320736,0.414778,0.524931,0.652263,0.797798,0.962522,1.147382,1.353283,1.581097,Northern Chile
1973,0.122638,0.176525,0.242703,0.322916,0.417424,0.528083,0.655959,0.802075,0.967415,1.152923,1.359507,1.588035,Northern Chile
1974,0.122599,0.183856,0.252545,0.334934,0.432712,0.54609,0.676874,0.82608,0.994686,1.183628,1.393806,1.626083,Northern Chile
1975,0.122576,0.182088,0.257729,0.342171,0.441629,0.557744,0.690679,0.842191,1.013252,1.204793,1.417708,1.652854,Northern Chile
1976,0.122607,0.174516,0.246587,0.335982,0.435327,0.550796,0.683985,0.835018,1.005611,1.196697,1.409169,1.643884,Northern Chile
1977,0.122614,0.172883,0.236949,0.322333,0.426154,0.540997,0.672993,0.823701,0.993204,1.183181,1.394527,1.628101,Northern Chile
1978,0.122612,0.172354,0.23465,0.311887,0.411544,0.530697,0.661891,0.811219,0.9802,1.168879,1.378901,1.611123,Northern Chile
1979,0.122629,0.171469,0.233025,0.308258,0.399514,0.51423,0.649444,0.797662,0.964939,1.152756,1.361124,1.591651,Northern Chile
1980,0.122623,0.175363,0.236954,0.312473,0.402838,0.510349,0.642401,0.79599,0.96358,1.151188,1.360257,1.590757,Northern Chile
1981,0.122633,0.167003,0.230474,0.303817,0.392072,0.496116,0.618217,0.765733,0.935626,1.120327,1.32582,1.553515,Northern Chile
1982,0.122619,0.160214,0.213672,0.287094,0.371221,0.471059,0.587458,0.722654,0.883976,1.068358,1.268204,1.48947,Northern Chile
1983,0.122617,0.166702,0.214956,0.280087,0.366158,0.463873,0.578203,0.709962,0.861353,1.039671,1.241818,1.460165,Northern Chile
1984,0.122632,0.176657,0.233808,0.296372,0.377009,0.479738,0.595218,0.728378,0.879989,1.052215,1.25231,1.477137,Northern Chile
1985,0.122606,0.180636,0.248687,0.321198,0.400405,0.498922,0.620719,0.75641,0.910878,1.084854,1.280454,1.504893,Northern Chile
1986,0.122597,0.17758,0.248902,0.33151,0.419795,0.515948,0.632536,0.773489,0.929375,1.105039,1.301168,1.51984,Northern Chile
1987,0.122607,0.169862,0.236274,0.320113,0.416283,0.519137,0.630827,0.763885,0.922202,1.096311,1.291022,1.506988,Northern Chile
1988,0.122628,0.172523,0.231847,0.311477,0.409638,0.521194,0.640457,0.769541,0.920936,1.098497,1.292722,1.508382,Northern Chile
1989,0.122619,0.165289,0.2255,0.296121,0.387992,0.499303,0.624884,0.759012,0.903768,1.071611,1.266364,1.478494,Northern Chile
1990,0.122661,0.1749,0.230211,0.304266,0.389888,0.497874,0.626372,0.77017,0.923504,1.088417,1.277328,1.494024,Northern Chile
1991,0.122614,0.173047,0.23747,0.306123,0.394636,0.495789,0.620339,0.766394,0.928702,1.101463,1.28668,1.496739,Northern Chile
1992,0.122597,0.165819,0.226699,0.302563,0.383614,0.485444,0.600801,0.740405,0.902332,1.081298,1.27147,1.474821,Northern Chile
1993,0.12258,0.169811,0.224448,0.297831,0.387242,0.482846,0.600197,0.732005,0.888954,1.069084,1.267076,1.477063,Northern Chile
1994,0.122583,0.177761,0.238336,0.307586,0.396802,0.503222,0.616967,0.753545,0.905626,1.08385,1.286218,1.507369,Northern Chile
1995,0.122591,0.179317,0.248214,0.323812,0.409341,0.516045,0.641116,0.77463,0.932051,1.106005,1.307092,1.533271,Northern Chile
1996,0.122627,0.173672,0.242749,0.325173,0.415427,0.516701,0.640198,0.783068,0.935347,1.112462,1.307,1.529527,Northern Chile
1997,0.122586,0.17871,0.243315,0.327243,0.425759,0.533301,0.653012,0.79605,0.959523,1.133424,1.33314,1.551216,Northern Chile
1998,0.122592,0.171474,0.239419,0.316969,0.414925,0.52851,0.652123,0.788869,0.949867,1.132188,1.325791,1.546024,Northern Chile
1999,0.122621,0.177756,0.239976,0.322528,0.415908,0.530867,0.662587,0.805421,0.962432,1.144698,1.34925,1.566004,Northern Chile
2000,0.122612,0.176747,0.24497,0.321523,0.419606,0.529669,0.662422,0.813002,0.97572,1.153599,1.357678,1.584946,Northern Chile
2001,0.122559,0.176591,0.243779,0.326295,0.418336,0.533058,0.660867,0.812429,0.982838,1.166368,1.366,1.592734,Northern Chile
2002,0.122595,0.172588,0.238718,0.319154,0.416026,0.523489,0.654658,0.799898,0.96984,1.159538,1.36323,1.58386,Northern Chile
2003,0.122629,0.170949,0.232635,0.311569,0.405879,0.517655,0.641014,0.789032,0.952037,1.140621,1.349805,1.573791,Northern Chile
2004,0.122588,0.175429,0.236516,0.312183,0.406267,0.516853,0.645987,0.787744,0.955158,1.13852,1.348382,1.579727,Northern Chile
2005,0.122584,0.177094,0.243114,0.318635,0.409942,0.520827,0.649332,0.797457,0.959238,1.147667,1.352994,1.585732,Northern Chile
2006,0.122608,0.179088,0.247261,0.328243,0.419977,0.528701,0.658161,0.806353,0.975237,1.158802,1.370002,1.599043,Northern Chile
2007,0.122586,0.173363,0.242115,0.323728,0.419273,0.526652,0.652061,0.799206,0.966044,1.154496,1.358515,1.591016,Northern Chile
2008,0.122591,0.172287,0.235081,0.316995,0.412868,0.523734,0.647451,0.790178,0.955582,1.141582,1.350063,1.574941,Northern Chile
2009,0.122648,0.171227,0.232683,0.308357,0.404225,0.515091,0.641945,0.782609,0.943203,1.127358,1.332958,1.561851,Northern Chile
2010,0.122617,0.179238,0.241501,0.317943,0.409854,0.523166,0.652635,0.799208,0.960662,1.143074,1.350035,1.579386,Northern Chile
2011,0.122603,0.178953,0.249196,0.326377,0.418984,0.52826,0.660092,0.809191,0.97646,1.159634,1.364749,1.595354,Northern Chile
2012,0.12259,0.178603,0.248494,0.333566,0.426816,0.536684,0.66437,0.815715,0.985387,1.174246,1.379987,1.608606,Northern Chile
2013,0.122603,0.18049,0.250504,0.335726,0.437413,0.54851,0.677412,0.825273,0.997888,1.189883,1.402076,1.632118,Northern Chile
2014,0.122563,0.175413,0.24607,0.330068,0.430444,0.548408,0.676866,0.824169,0.991431,1.184408,1.397684,1.632041,Northern Chile
2015,0.12259,0.175575,0.241244,0.325938,0.425147,0.541864,0.677255,0.824185,0.990964,1.178664,1.393003,1.62853,Northern Chile
2016,0.122632,0.162619,0.225283,0.301552,0.397731,0.509279,0.639155,0.788494,0.950129,1.132341,1.336172,1.567312,Northern Chile
2017,0.122602,0.165854,0.216293,0.290402,0.379072,0.488575,0.614332,0.759268,0.924486,1.102785,1.302414,1.524386,Northern Chile
2018,0.122649,0.178684,0.235498,0.300786,0.390988,0.496945,0.624884,0.770183,0.935722,1.122562,1.323462,1.546629,Northern Chile
2019,0.122695,0.20121,0.276241,0.353857,0.441688,0.556106,0.687889,0.843202,1.017361,1.213189,1.431688,1.66556,Northern Chile
2020,0.122642,0.190892,0.285897,0.378986,0.476171,0.585022,0.721859,0.877405,1.057771,1.258223,1.481533,1.728654,Northern Chile
2021,0.122601,0.200894,0.288066,0.403791,0.519335,0.64064,0.775216,0.939319,1.123612,1.334149,1.566135,1.822288,Northern Chile
2022,0.122606,0.219652,0.321412,0.434283,0.577856,0.723315,0.876524,1.044917,1.244674,1.466385,1.716031,1.98875,Northern Chile
2023,0.122612,0.176102,0.286084,0.402009,0.53023,0.690293,0.853338,1.025188,1.213234,1.433616,1.676885,1.948983,Northern Chile
2024,0.122612,0.176108,0.242534,0.366681,0.497956,0.642667,0.820317,1.002002,1.193505,1.402176,1.644116,1.909837,Northern Chile
1979,0.1569649,0.2021229,0.2713424,0.3456273,0.4440297,0.5700673,0.7093423,0.8673106,1.075719,1.313342,1.578796,1.825753,South central data
1980,0.2030919,0.2009822,0.2371281,0.2754207,0.3275101,0.3750594,0.5037833,0.8612334,0.9951477,1.159295,1.397407,1.534117,South central data
1981,0.1638569,0.1874818,0.2384203,0.2681818,0.3078269,0.3677967,0.4635753,0.7955722,0.9951477,1.159295,1.397407,1.534117,South central data
1982,0.1825628,0.2011661,0.2325852,0.2606243,0.2953161,0.3437894,0.4021003,0.4467673,0.9951477,1.159295,1.397407,1.534117,South central data
1983,0.1200638,0.1664255,0.2494177,0.2838452,0.329637,0.41762320000000003,0.497039,0.6055891,0.9951477,1.159295,1.397407,1.534117,South central data
