year,1,2,3,4,5,6,7,8,9,10,11,12,source
1979,0.036,0.138,0.304,0.518,0.762,1.02,1.28,1.532,1.77,1.991,2.193,2.375,Far north data
1980,0.036,0.136,0.298,0.506,0.743,0.994,1.245,1.49,1.721,1.934,2.13,2.306,Far north data
1981,0.041,0.148,0.314,0.524,0.758,1.003,1.247,1.481,1.702,1.905,2.089,2.255,Far north data
1982,0.039,0.144,0.309,0.519,0.755,1.002,1.249,1.488,1.712,1.92,2.108,2.278,Far north data
1983,0.042,0.138,0.28,0.451,0.638,0.828,1.014,1.191,1.356,1.507,1.643,1.764,Far north data
1984,0.044,0.156,0.328,0.541,0.778,1.024,1.267,1.501,1.719,1.921,2.103,2.267,Far north data
1985,0.04,0.149,0.322,0.541,0.789,1.048,1.308,1.558,1.794,2.012,2.211,2.389,Far north data
1986,0.042,0.151,0.323,0.539,0.781,1.033,1.285,1.527,1.755,1.965,2.156,2.327,Far north data
1987,0.034,0.132,0.294,0.504,0.745,1.001,1.26,1.512,1.751,1.973,2.176,2.359,Far north data
1988,0.038,0.145,0.315,0.533,0.78,1.041,1.302,1.554,1.793,2.013,2.215,2.396,Far north data
1989,0.044,0.158,0.337,0.561,0.812,1.074,1.334,1.585,1.821,2.038,2.236,2.413,Far north data
1990,0.042,0.15,0.32,0.532,0.769,1.017,1.263,1.499,1.722,1.927,2.113,2.28,Far north data
1991,0.039,0.142,0.305,0.511,0.743,0.985,1.227,1.461,1.68,1.883,2.068,2.234,Far north data
1992,0.04,0.148,0.318,0.534,0.776,1.031,1.286,1.531,1.763,1.976,2.171,2.346,Far north data
1993,0.039,0.147,0.323,0.549,0.807,1.08,1.354,1.62,1.871,2.104,2.317,2.508,Far north data
1994,0.036,0.147,0.335,0.584,0.874,1.186,1.503,1.813,2.109,2.385,2.638,2.867,Far north data
1995,0.038,0.146,0.318,0.54,0.792,1.058,1.325,1.583,1.827,2.053,2.26,2.446,Far north data
1996,0.038,0.145,0.317,0.537,0.788,1.053,1.318,1.576,1.82,2.045,2.251,2.436,Far north data
1997,0.045,0.152,0.312,0.506,0.72,0.94,1.155,1.361,1.553,1.729,1.889,2.031,Far north data
