#cur_yr																																											
2022																																											
#styr																																											
1970																																											
#endyr																																											
2024																																											
#N_data_sets																																											
1																																											
#N_yrs_data_sets																																											
44																																											
#fshry_yrs																																											
1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
0.032	0.145	0.349	0.632	0.971	1.344	1.731	2.115	2.485	2.834	3.156	3.449																																
0.032	0.145	0.349	0.632	0.971	1.344	1.731	2.115	2.485	2.834	3.156	3.449																																
0.032	0.145	0.349	0.632	0.971	1.344	1.731	2.115	2.485	2.834	3.156	3.449																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
0.0332	0.1456	0.346	0.6214	0.95	1.31	1.682	2.0506	2.405	2.739	3.0466	3.3266																																
#																																											
#fishery_std																																											
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
0.1	0.1	0.05	0.05	0.05	0.075	0.1	0.1	0.125	0.15	0.175	0.2																																
