#cur_yr																																											
2022																																											
#styr																																											
1970																																											
#endyr																																											
2024																																											
#N_data_sets																																											
1																																											
#N_yrs_data_sets																																											
44																																											
#fshry_yrs																																											
1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
#stage																																											
1																																											
#endage																																											
12																																											
#fishery																																											
0.036	0.138	0.304	0.518	0.762	1.02	1.28	1.532	1.77	1.991	2.193	2.375																																
0.036	0.136	0.298	0.506	0.743	0.994	1.245	1.49	1.721	1.934	2.13	2.306																																
0.041	0.148	0.314	0.524	0.758	1.003	1.247	1.481	1.702	1.905	2.089	2.255																																
0.039	0.144	0.309	0.519	0.755	1.002	1.249	1.488	1.712	1.92	2.108	2.278																																
0.042	0.138	0.28	0.451	0.638	0.828	1.014	1.191	1.356	1.507	1.643	1.764																																
0.044	0.156	0.328	0.541	0.778	1.024	1.267	1.501	1.719	1.921	2.103	2.267																																
0.04	0.149	0.322	0.541	0.789	1.048	1.308	1.558	1.794	2.012	2.211	2.389																																
0.042	0.151	0.323	0.539	0.781	1.033	1.285	1.527	1.755	1.965	2.156	2.327																																
0.034	0.132	0.294	0.504	0.745	1.001	1.26	1.512	1.751	1.973	2.176	2.359																																
0.038	0.145	0.315	0.533	0.78	1.041	1.302	1.554	1.793	2.013	2.215	2.396																																
0.044	0.158	0.337	0.561	0.812	1.074	1.334	1.585	1.821	2.038	2.236	2.413																																
0.042	0.15	0.32	0.532	0.769	1.017	1.263	1.499	1.722	1.927	2.113	2.28																																
0.039	0.142	0.305	0.511	0.743	0.985	1.227	1.461	1.68	1.883	2.068	2.234																																
0.04	0.148	0.318	0.534	0.776	1.031	1.286	1.531	1.763	1.976	2.171	2.346																																
0.039	0.147	0.323	0.549	0.807	1.08	1.354	1.62	1.871	2.104	2.317	2.508																																
0.036	0.147	0.335	0.584	0.874	1.186	1.503	1.813	2.109	2.385	2.638	2.867																																
0.038	0.146	0.318	0.54	0.792	1.058	1.325	1.583	1.827	2.053	2.26	2.446																																
0.038	0.145	0.317	0.537	0.788	1.053	1.318	1.576	1.82	2.045	2.251	2.436																																
0.045	0.152	0.312	0.506	0.72	0.94	1.155	1.361	1.553	1.729	1.889	2.031																																
0.04	0.14	0.294	0.483	0.693	0.911	1.126	1.333	1.526	1.703	1.864	2.008																																
0.037	0.146	0.324	0.557	0.824	1.107	1.394	1.673	1.938	2.183	2.408	2.611																																
0.035	0.145	0.336	0.592	0.893	1.218	1.55	1.877	2.189	2.481	2.75	2.994																																
0.033	0.139	0.324	0.572	0.864	1.18	1.504	1.822	2.127	2.412	2.674	2.912																																
0.036	0.145	0.33	0.576	0.861	1.167	1.478	1.783	2.074	2.344	2.593	2.817																																
0.04	0.154	0.341	0.584	0.862	1.157	1.454	1.743	2.017	2.272	2.504	2.714																																
0.038	0.149	0.333	0.574	0.852	1.148	1.447	1.74	2.017	2.275	2.511	2.724																																
0.037	0.15	0.341	0.595	0.89	1.206	1.527	1.842	2.142	2.422	2.678	2.911																																
0.038	0.152	0.347	0.606	0.907	1.23	1.558	1.88	2.187	2.473	2.735	2.973																																
0.038	0.149	0.335	0.579	0.861	1.161	1.465	1.762	2.044	2.306	2.546	2.763																																
0.036	0.146	0.334	0.585	0.876	1.19	1.51	1.823	2.122	2.4	2.656	2.888																																
0.038	0.15	0.337	0.582	0.865	1.167	1.474	1.773	2.057	2.321	2.563	2.782																																
0.039	0.15	0.332	0.567	0.837	1.123	1.411	1.691	1.956	2.203	2.428	2.631																																
0.031	0.143	0.351	0.644	1	1.395	1.806	2.217	2.614	2.99	3.337	3.655																																
