V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.372315,0.446475,0.52793,0.630826,0.758005,0.950455,1.128336,1.298477,1.436192,1.591084,1.687734,1.761641,1.858543
0.29691,0.434997,0.512359,0.594502,0.69615,0.820686,1.009553,1.183285,1.348995,1.482211,1.632687,1.725108,1.79504
0.334638,0.416189,0.560371,0.639041,0.718809,0.815426,0.933146,1.114118,1.279418,1.436566,1.561379,1.703809,1.788665
0.353167,0.431159,0.517642,0.662882,0.739631,0.815328,0.90643,1.01776,1.191908,1.350281,1.500629,1.618931,1.755239
0.428144,0.543242,0.630946,0.719513,0.86097,0.929701,0.994538,1.073056,1.170951,1.331455,1.476438,1.613963,1.72021
0.381104,0.479801,0.597538,0.685808,0.773347,0.912625,0.978405,1.039821,1.114689,1.208875,1.365741,1.507239,1.641488
0.302121,0.433488,0.534861,0.653172,0.7404,0.825729,0.962014,1.024326,1.08204,1.153147,1.243643,1.396975,1.535151
0.321298,0.472021,0.612069,0.715305,0.830235,0.910296,0.985917,1.110955,1.161257,1.206775,1.265914,1.344948,1.487505
0.309655,0.453341,0.610812,0.752307,0.852915,0.962276,1.034792,1.101671,1.217375,1.258199,1.294415,1.344646,1.415306
0.309655,0.441698,0.592131,0.75105,0.889917,0.984956,1.086771,1.150546,1.208092,1.314317,1.345839,1.373148,1.415004
