V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.306702,0.425017,0.549376,0.675033,0.798335,0.916647,1.028198,1.131917,1.227272,1.314135,1.392663,1.463209,1.526251
0.3026,0.451217,0.576916,0.70286,0.825641,0.942847,1.052901,1.154885,1.248388,1.33337,1.410052,1.478831,1.540212
0.318338,0.431025,0.586204,0.71331,0.836699,0.954063,1.063931,1.165483,1.258389,1.342674,1.418609,1.486627,1.547261
0.309461,0.465619,0.585832,0.742625,0.866801,0.983977,1.092925,1.193043,1.284184,1.366518,1.440428,1.506427,1.565104
0.326458,0.456881,0.620571,0.742401,0.89626,1.014218,1.12297,1.222158,1.311856,1.392415,1.464364,1.528329,1.584978
0.293998,0.585865,0.729543,0.896077,1.012744,1.155662,1.258796,1.350376,1.431228,1.502305,1.56459,1.619039,1.666551
0.329897,0.43925,0.738539,0.88381,1.047453,1.157994,1.292611,1.38613,1.467442,1.537867,1.598712,1.651198,1.696435
0.28922,0.632326,0.757132,1.059737,1.198989,1.349876,1.443134,1.557732,1.629872,1.689476,1.738596,1.779038,1.812344
0.321054,0.422074,0.771967,0.89823,1.198191,1.331839,1.475135,1.559599,1.664805,1.727409,1.777653,1.817811,1.849828
0.322584,0.479082,0.588177,0.939803,1.062921,1.356216,1.480834,1.613668,1.686961,1.780824,1.832296,1.871879,1.902015
0.304869,0.56585,0.734778,0.846539,1.193324,1.306181,1.585575,1.694089,1.809727,1.865559,1.942285,1.977345,2.001501
0.294842,0.495023,0.76572,0.936733,1.04471,1.383474,1.485465,1.752272,1.847344,1.949333,1.991769,2.055666,2.078667
0.286344,0.425426,0.63228,0.904409,1.072823,1.175291,1.506594,1.59994,1.857516,1.943215,2.036005,2.069631,2.125247
0.337977,0.465049,0.613263,0.822075,1.090648,1.251524,1.343781,1.663253,1.743967,1.988716,2.061825,2.14256,2.164852
0.331738,0.440025,0.572311,0.721643,0.928425,1.192693,1.347738,1.43324,1.745498,1.818887,2.056447,2.122672,2.196934
0.370367,0.474609,0.590195,0.724048,0.870537,1.071292,1.327396,1.472983,1.548386,1.850389,1.913714,2.141635,2.198799
0.303112,0.440229,0.54804,0.664393,0.796855,0.940397,1.13716,1.38864,1.529288,1.599676,1.896758,1.95537,2.17886
0.349715,0.403762,0.546022,0.654937,0.769286,0.897503,1.035294,1.225394,1.469759,1.603183,1.66648,1.956772,2.009
0.296625,0.438623,0.497213,0.640448,0.747593,0.858193,0.981329,1.113234,1.29705,1.535032,1.662193,1.719493,2.004146
0.277544,0.38579599999999997,0.53235,0.591918,0.733378,0.836762,0.942266,1.059499,1.185101,1.362516,1.594217,1.715362,1.767006
0.291855,0.423705,0.539424,0.687581,0.74424,0.879535,0.974567,1.070396,1.177297,1.292407,1.459526,1.681367,1.793242
0.310186,0.458779,0.599158,0.716708,0.861543,0.911161,1.036917,1.120899,1.204928,1.299848,1.403199,1.559056,1.770311
0.345588,0.397347,0.550394,0.691729,0.807544,0.948703,0.99334,1.113326,1.191147,1.268919,1.357699,1.45517,1.605499
0.395683,0.517435,0.577976,0.732907,0.870822,0.979388,1.110727,1.143988,1.251827,1.317312,1.382979,1.460165,1.546737
0.365926,0.536207,0.665139,0.72722,0.879354,1.011342,1.111879,1.233915,1.257243,1.354995,1.410581,1.466767,1.535041
0.320243,0.474841,0.650686,0.780813,0.840727,0.988267,1.114031,1.207357,1.321695,1.337204,1.427284,1.475522,1.524801
0.337865,0.395859,0.554321,0.730996,0.859617,0.916341,1.059561,1.180319,1.2683,1.37721,1.387393,1.472371,1.515814
0.354953,0.446179,0.509707,0.669357,0.843876,0.967929,1.018464,1.154513,1.267614,1.347821,1.4491,1.451976,1.530085
0.308131,0.401083,0.494667,0.5587,0.717432,0.890005,1.011422,1.058903,1.191691,1.301482,1.378439,1.476606,1.476556
0.32591,0.429365,0.528511,0.623424,0.685045,0.838663,1.004309,1.1177,1.156611,1.280697,1.381947,1.450726,1.541204
0.298186,0.40869,0.516375,0.616429,0.709694,0.767823,0.916711,1.076876,1.184416,1.217386,1.33564,1.431306,1.494834
0.335809,0.452299,0.570676,0.680051,0.777038,0.863803,0.913126,1.051811,1.201083,1.297561,1.319673,1.427531,1.513423
0.32976,0.448801,0.571064,0.69068,0.797806,0.890027,0.970335,1.012178,1.142876,1.284038,1.372556,1.387046,1.487737
0.344355,0.441661,0.56642,0.689909,0.807299,0.909705,0.995532,1.068432,1.102365,1.225031,1.358309,1.439278,1.446671
0.33127,0.498552,0.603737,0.730186,0.850607,0.961493,1.055087,1.130706,1.192707,1.215572,1.327375,1.450251,1.52144
0.273823,0.401327,0.572188,0.678141,0.803196,0.920662,1.027544,1.116501,1.187168,1.24414,1.26207,1.369147,1.48758
0.304608,0.44266,0.57879100000000006,0.751502,0.854096,0.972029,1.079847,1.175553,1.252575,1.311123,1.356201,1.362741,1.459109
0.305376,0.491138,0.638721,0.776896,0.945896,1.040622,1.147896,1.243366,1.325886,1.38952,1.434927,1.467421,1.462131
0.302669,0.458809,0.652411,0.801676,0.936798,1.099326,1.185284,1.282401,1.367026,1.438532,1.491357,1.526413,1.549176
0.348031,0.532075,0.699937,0.896054,1.040754,1.166199,1.315618,1.38639,1.467291,1.535448,1.590794,1.628143,1.64865
0.266191,0.445602,0.634632,0.803563,0.997738,1.138323,1.258193,1.401153,1.465027,1.538925,1.600209,1.648972,1.680132
0.242671,0.430173,0.617963,0.808789,0.974458,1.161716,1.29293,1.401945,1.533313,1.585417,1.647763,1.697984,1.736348
0.2752,0.393288,0.588486,0.777927,0.965757,1.125072,1.303724,1.424967,1.523335,1.643892,1.685386,1.73757,1.778239
0.341674,0.436686,0.563025,0.759993,0.94622,1.127239,1.277326,1.445288,1.555116,1.641892,1.751073,1.781673,1.823616
0.408257,0.48776,0.590237,0.718177,0.912238,1.092304,1.264974,1.405391,1.563026,1.662368,1.738853,1.838179,1.859514
